code,name,latitude,longitude
GAR,Gadarwara Railway Station,22.9003817,78.7926908
BKH,Bankhedi Railway Station,22.7746927,78.5334723
PPI,Pipariya Railway Station,22.7541387,78.3546527
SGP,Sohagpur Railway Station,22.694025,78.1943817
ET,Itarsi Junction,22.6085423,77.7671103
BZU,Betul Railway Station,21.8970897,77.9061925
AMLA,Amla Junction,21.9194856,78.1227685
PAR,Pandhurna Railway Station,21.589723,78.525744
SNI,Sindi Railway Station,20.8157282,78.8832075
AMI,Amravati Railway Station,20.9307971,77.7579228
CDG,Chandigarh Railway Station,30.702618,76.819172
UMB,Ambala Cantt. Junction,30.3394184,76.8288734
YJUD,Yamunanagar Jud Railway Station,30.1173076,77.2876963
SRE,Saharanpur Railway Station,29.9614603,77.541237
MOZ,Muzaffarnagar Railway Station,29.4699191,77.7080658
MTC,Meerut City Railway Station,28.9788364,77.6755095
GZB,Ghaziabad Railway Station,28.6531992,77.42899
FDB,Faridabad Railway Station,28.4108273,77.3074016
SEGM,Sevagram Junction,20.739076,78.619225
CD,Chandrapur Railway Station,19.9603028,79.3001412
RDM,Ramagundam Railway Station,18.7639321,79.4348864
PER,Perambur Railway Station,13.1077355,80.2443863
AJJ,Arakkonam Junction,13.0823911,79.6685282
KPD,Katpadi Junction,12.9717011,79.1385746
AB,Ambur Junction,12.7841107,78.7218346
VN,Vaniyambadi Railway Station,12.6793005,78.6227991
JTJ,Jolarpettai Junction,12.5633824,78.5777854
SA,Salem Junction,11.6706181,78.1137348
ED,Erode Junction,11.3286028,77.7257991
KRR,Karur Junction,10.9657054,78.0852639
DG,Dindigul Railway Station,10.3527847,77.9835266
MDU,Madurai Junction,9.9192456,78.1104983
JP,Jaipur Railway Station,26.9196878,75.7880051
SIKR,Sikar Junction,27.6167119,75.1531512
JJN,Jhunjhunun Railway Station,28.1070995,75.3903146
LHU,Loharu Railway Station,28.4272275,75.802825
SDLP,Sadulpur Junction,28.6313895,75.3861674
HSR,Hisar Railway Station,29.1520975,75.724705
ADI,Ahmedabad Junction,23.0266941,72.6008731
ND,Nadiad Junction,22.6935974,72.8572727
ANND,Anand Junction,22.5607595,72.9667427
SASN,Sas Nagar Mohali Railway Station,30.6659351,76.7397112
LDH,Ludhiana Railway Station,30.9134716,75.8479333
PGW,Phagwara Junction,31.2171949,75.7654978
JUC,Jalandhar City Railway Station,31.331196,75.5907214
BEAS,Beas Railway Station,31.5203294,75.2914071
ASR,Amritsar Junction,31.6332336,74.8672281
JAT,Jammu Tawi Railway Station,32.7058783,74.8798454
DEE,Delhi Sarai Rohilla Railway Station,28.6627512,77.1852469
PC,Pachora Junction,20.6692381,75.3493844
NGN,Nandgaon Railway Station,20.3091832,74.6600791
LS,Lasalgaon Railway Station,20.1550193,74.226229
NR,Niphad Railway Station,20.0968456,74.079792
DVL,Devlali Railway Station,19.8968608,73.836741
BNDA,Banda Junction,25.4775823,80.3350461
CKTD,Chitrakoot Railway Station,25.2174654,80.9228404999999
STA,Satna Railway Station,24.5677017,80.8287376
KTE,Katni Junction,23.8343132,80.4005726
USL,Usalapur Railway Station,22.102548,82.111546
HWH,Kolkata Howrah Junction,22.6018382,88.3830655
KGP,Kharagpur Junction,22.3408398,87.325934
JER,Jaleswar Railway Station,21.7975053,87.2200858
BLS,Balasore Railway Station,21.5010894,86.9201027
SORO,Soro Railway Station,21.2911561,86.6925477
BHC,Bhadrakh Railway Station,21.0912684,86.516344
JJKR,Jajpur Keonjhar Road Railway Station,20.9438494,86.1328801
CTC,Cuttack Railway Station,20.4654939,85.9007467
BBS,Bhubaneswar Railway Station,20.2669856,85.8439233
SHC,Saharsa Junction,25.8738196,86.5944052
MNE,Mansi Junction,25.5090688,86.5550878
KGG,Khagaria Junction,25.5061177,86.4669881
BGS,Begu Sarai Railway Station,25.4249184,86.1340718
BJU,Barauni Junction,25.4629024,85.9881681
DSS,Dalsingh Sarai Railway Station,25.6650202,85.841272
SPJ,Samastipur Junction,25.8599886,85.7863406
MFP,Muzaffarpur Junction,26.1224065,85.3784348
HJP,Hajipur Junction,25.70228,85.2154709
SEE,Sonpur Junction,25.6971671,85.1686621
KLD,Khalilabad Railway Station,26.7750559,83.0550659
BBK,Barabanki Junction,26.9341558,81.1792152
ASH,Aishbagh Railway Station,26.8373569,80.9101651
