third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
0,18:15:00,BSP,Bilaspur Express Cum Passenger,SECR,0,1,1,BILASPUR JN,18236,20:25:00,18235,BPL,0,,BHOPAL JN,Exp,0,717.0,21.83333331346512
1,07:05:00,DURG,Durg Ambikapur Express,SECR,0,0,1,DURG,18241,20:10:00,18242,ABKP,1,,AMBIKAPUR,Exp,0,469.0,10.916666686534882
0,13:20:00,SBP,Rayagada Express,ECoR,1,0,0,SAMBALPUR,18301,06:30:00,18302,RGDA,0,,RAYAGADA,Exp,0,322.0,6.833333313465118
1,17:25:00,ASR,Amritsar - Sealdah Superfast Express,ER,0,0,1,AMRITSAR JN,12380,10:50:00,12379,SDAH,1,,KOLKATA SEALDAH,SF,0,1894.0,30.58333331346512
1,04:25:00,HWH,Howrah-Tiruchirappalli Express,SR,0,0,1,HOWRAH JN,12663,16:10:00,12664,TPJ,1,,TIRUCHIRAPPALLI,SF,0,2025.0,36.25
1,01:15:00,LKO,LUCKNOW CHARBAGH - MUGHAL SARAI Ekatmata Exp,NR,0,0,1,LUCKNOW,14260,21:15:00,14259,MGS,1,,MUGHAL SARAI JN,Exp,0,2796.0,52.0
1,22:00:00,KCVL,KOCHUVELI - BIKANER Express,SR,0,0,1,KOCHUVELI,16312,15:15:00,16311,BKN,1,,BIKANER JN,Exp,0,3002.0,54.75
0,23:00:00,YPR,Yesvantpur - Karwar Express,SWR,1,0,0,YESVANTPUR JN,16515,07:30:00,16516,KAWR,0,,KARWAR,Exp,0,794.0,15.5
1,11:25:00,VSG,VASCO DA GAMA - YESVANTPUR Exp,SWR,0,0,1,VASCO DA GAMA,17310,20:45:00,17309,YPR,1,,YESVANTPUR JN,Exp,0,700.0,14.666666686534882
1,07:05:00,PNBE,PATNA - PURNA Exp,SCR,0,0,1,PATNA JN,17609,23:10:00,17610,PAU,1,,PURNA JN,Exp,0,1819.0,31.91666668653488
1,12:15:00,LTT,MUMBAI LTT [Kurla] - KOLKATA SALIMAR Exp,SER,0,0,1,LOKMANYA TILAK TERM,18029,21:50:00,18030,SHM,1,,KOLKATA SHALIMAR,Exp,0,1951.0,38.41666665673256
1,06:30:00,TATA,Jallianwalabagh Express,SER,0,0,1,TATANAGAR JN,18103,21:15:00,18104,ASR,1,,AMRITSAR JN,Exp,0,1749.0,33.25
1,16:20:00,TATA,Tata-Chapra Express,SER,0,0,1,TATANAGAR JN,18181,21:35:00,18182,CPR,0,,CHHAPRA,Exp,0,636.0,18.75
1,06:40:00,CPR,Chhapra-Tata Express,SER,0,0,1,CHHAPRA,18182,12:50:00,18181,TATA,0,,TATANAGAR JN,Exp,0,636.0,17.83333331346512
0,19:22:00,TATA,Tata-Danapur Express,SER,1,0,0,TATANAGAR JN,18183,07:55:00,18184,DNR,0,,DANAPUR,Exp,0,512.0,11.449999988079073
0,17:10:00,DNR,Danapur-Tatanagar Express,SER,1,0,0,DANAPUR,18184,06:00:00,18183,TATA,0,,TATANAGAR JN,Exp,0,512.0,11.16666667163372
1,14:20:00,NTV,Nautanwa-Durg Nautanwa Express,SECR,0,0,1,Nautanwa,18202,10:50:00,18201,DURG,1,,DURG,Exp,0,1224.0,27.5
1,13:05:00,DURG,Betwa Express,SECR,0,0,1,DURG,18203,19:40:00,18204,CNB,1,,KANPUR CENTRAL,Exp,0,885.0,17.41666665673256
1,13:10:00,CNB,Betwa Express,SECR,0,0,1,KANPUR CENTRAL,18204,18:20:00,18203,DURG,1,,DURG,Exp,0,885.0,18.83333331346512
1,13:10:00,NTV,Nautanwa-Durg Express,SECR,0,0,1,Nautanwa,18206,08:00:00,18205,DURG,1,,DURG,Exp,0,1152.0,29.16666667163372
1,09:10:00,ABKP,Ambikapur Durg Express Cum Passenger,SECR,0,0,1,AMBIKAPUR,18242,21:35:00,18241,DURG,1,,DURG,Exp,0,469.0,11.583333313465118
1,08:10:00,PURI,Sri Jagannath Express,ECoR,0,0,1,PURI,18410,22:50:00,18409,HWH,1,,HOWRAH JN,Exp,0,502.0,9.33333334326744
1,12:40:00,BBS,Hirakhand Express,ECoR,0,0,1,BHUBANESWAR,18447,19:35:00,18448,JDB,1,,JAGDALPUR,Exp,0,785.0,17.08333333581686
1,08:25:00,JDB,Hirakhand Express,ECoR,0,0,1,JAGDALPUR,18448,15:30:00,18447,BBS,1,,BHUBANESWAR,Exp,0,785.0,16.91666668653488
1,11:40:00,PURI,PURI - HATIA Tapaswini Exp,ECoR,0,0,1,PURI,18452,20:40:00,18451,HTE,1,,HATIA,Exp,1,691.0,15.0
1,12:05:00,BBS,Prasanti Express,ECoR,0,0,1,BHUBANESWAR,18463,05:45:00,18464,SBC,1,,BANGALORE CITY JN,Exp,0,1546.0,30.33333334326744
1,20:45:00,SBC,Prasanti Express,ECoR,0,0,1,BANGALORE CITY JN,18464,14:00:00,18463,BBS,1,,BHUBANESWAR,Exp,0,1546.0,30.75
0,14:30:00,SBC,BANGALORE - CHENNAI CENT SF Intercity Exp,SWR,1,0,0,BANGALORE CITY JN,12610,08:00:00,12609,MAS,0,,CHENNAI CENTRAL,SF,0,362.0,6.5
1,19:00:00,SBC,BANGALORE - KANNIYAKUMARI Island Exp,SWR,0,0,1,BANGALORE CITY JN,16526,21:40:00,16525,CAPE,1,,KANYAKUMARI,Exp,0,944.0,21.33333334326744
0,22:45:00,PRDP,Paradip Puri InterCity Express,ECoR,1,0,0,Paradip,18413,18:00:00,18414,PURI,0,,PURI,Exp,0,174.0,4.75
0,10:10:00,PURI,Puri Paradip InterCity Express,ECoR,1,0,0,PURI,18414,06:00:00,18413,PRDP,0,,Paradip,Exp,0,174.0,4.16666667163372
