station,week,month,month_3,month_6,year,train_number,station_code
MAIHAR (MYR),45,41,62,55,40,12150,MYR
KATNI (KTE),52,48,68,63,47,12150,KTE
JABALPUR (JBP),64,58,82,74,57,12150,JBP
ITARSI JN (ET),45,35,66,56,45,12150,ET
KHANDWA (KNW),29,20,52,41,32,12150,KNW
BURHANPUR (BAU),35,25,54,41,33,12150,BAU
BHUSAVAL JN (BSL),56,31,59,47,38,12150,BSL
MANMAD JN (MMR),68,48,75,61,53,12150,MMR
KOPARGAON (KPG),66,35,73,58,54,12150,KPG
BELAPUR (BAP),122,60,85,63,53,12150,BAP
AHMADNAGAR (ANG),117,70,93,71,59,12150,ANG
DAUND CHORD LINE (DDCC),71,30,55,42,29,12150,DDCC
PUNE JN (PUNE),63,41,58,42,33,12150,PUNE
LOKMANYATILAK T (LTT),1,1,1,8,11,12151,LTT
KALYAN JN (KYN),15,21,18,25,29,12151,KYN
NASIK ROAD (NK),10,22,21,29,36,12151,NK
BHUSAVAL JN (BSL),37,33,32,37,46,12151,BSL
AKOLA JN (AK),25,41,42,49,56,12151,AK
BADNERA JN (BD),1,9,11,18,26,12151,BD
NAGPUR (NGP),1,8,10,16,22,12151,NGP
GONDIA JN (G),22,23,36,43,44,12151,G
RAJ NANDGAON (RJN),42,55,62,74,73,12151,RJN
DURG (DURG),33,54,61,73,74,12151,DURG
RAIPUR JN (R),29,67,77,81,84,12151,R
BILASPUR JN (BSP),38,74,86,89,98,12151,BSP
RAIGARH (RIG),76,112,130,140,151,12151,RIG
JHARSUGUDA JN (JSG),71,137,140,162,172,12151,JSG
ROURKELA (ROU),94,166,165,200,213,12151,ROU
CHAKRADHARPUR (CKP),100,179,175,208,218,12151,CKP
PURULIA JN (PRR),99,187,188,221,228,12151,PRR
ADRA JN (ADRA),109,196,194,226,234,12151,ADRA
BANKURA (BQA),111,200,197,228,235,12151,BQA
MIDNAPORE (MDN),86,180,177,214,222,12151,MDN
KHARAGPUR JN (KGP),83,180,183,216,222,12151,KGP
SANTRAGACHI JN (SRC),72,260,392,366,343,12151,SRC
SHALIMAR (SHM),81,285,393,366,339,12151,SHM
SHALIMAR (SHM),5,28,11,29,38,12152,SHM
SANTRAGACHI JN (SRC),5,32,22,36,45,12152,SRC
KHARAGPUR JN (KGP),3,33,27,40,51,12152,KGP
MIDNAPORE (MDN),1,26,23,35,46,12152,MDN
BANKURA (BQA),7,32,28,41,52,12152,BQA
ADRA JN (ADRA),16,31,28,41,54,12152,ADRA
PURULIA JN (PRR),21,33,30,43,56,12152,PRR
CHAKRADHARPUR (CKP),22,56,60,78,83,12152,CKP
ROURKELA (ROU),28,73,83,101,106,12152,ROU
JHARSUGUDA JN (JSG),5,68,79,101,101,12152,JSG
RAIGARH (RIG),44,107,114,139,151,12152,RIG
BILASPUR JN (BSP),79,136,142,183,203,12152,BSP
RAIPUR JN (R),111,161,162,208,228,12152,R
DURG (DURG),111,156,153,200,220,12152,DURG
RAJ NANDGAON (RJN),110,163,170,218,239,12152,RJN
GONDIA JN (G),137,235,221,258,280,12152,G
NAGPUR (NGP),148,259,239,277,288,12152,NGP
BADNERA JN (BD),158,256,249,278,285,12152,BD
AKOLA JN (AK),184,271,258,288,292,12152,AK
BHUSAVAL JN (BSL),190,280,270,295,304,12152,BSL
NASIK ROAD (NK),205,304,292,316,328,12152,NK
KALYAN JN (KYN),249,358,345,367,367,12152,KYN
LOKMANYATILAK T (LTT),62,68,143,158,226,12152,LTT
RANI KAMLAPATI (RKMP),1,3,3,4,3,12155,RKMP
BHOPAL JN (BPL),4,7,8,9,10,12155,BPL
VIDISHA (BHS),9,12,16,15,16,12155,BHS
GANJ BASODA (BAQ),17,20,23,22,22,12155,BAQ
BINA JN (BINA),9,16,20,20,20,12155,BINA
V LAKSHMIBAI JHANSI (VGLJ),11,11,11,11,11,12155,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),12,32,46,52,39,12155,VGLB
GWALIOR (GWL),35,53,73,77,57,12155,GWL
MORENA (MRA),39,58,83,86,60,12155,MRA
AGRA CANTT (AGC),21,43,80,78,52,12155,AGC
H NIZAMUDDIN (NZM),34,67,108,101,60,12155,NZM
H NIZAMUDDIN (NZM),1,1,2,2,3,12156,NZM
AGRA CANTT (AGC),31,45,51,44,35,12156,AGC
MORENA (MRA),20,33,51,39,28,12156,MRA
GWALIOR (GWL),26,38,60,48,34,12156,GWL
V LAKSHMIBAI JHANSI (VGLJ),19,19,19,19,19,12156,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),28,38,65,50,33,12156,VGLB
BINA JN (BINA),26,44,83,63,42,12156,BINA
GANJ BASODA (BAQ),39,59,98,77,51,12156,BAQ
VIDISHA (BHS),36,62,103,80,52,12156,BHS
BHOPAL JN (BPL),247,122,156,144,96,12156,BPL
RANI KAMLAPATI (RKMP),240,116,150,175,143,12156,RKMP
PUNE JN (PUNE),0,1,2,4,5,12157,PUNE
DAUND JN (DD),21,27,22,19,18,12157,DD
KURDUVADI (KWV),21,28,22,21,24,12157,KWV
SOLAPUR JN (SUR),8,14,10,6,10,12157,SUR
SOLAPUR JN (SUR),0,1,2,1,4,12158,SUR
KURDUVADI (KWV),17,19,19,19,19,12158,KWV
DAUND JN (DD),2,6,5,6,10,12158,DD
PUNE JN (PUNE),9,9,9,8,7,12158,PUNE
AMRAVATI (AMI),0,0,2,1,1,12159,AMI
DHAMANGAON (DMN),5,7,11,11,11,12159,DMN
PULGAON JN (PLO),11,11,17,15,15,12159,PLO
WARDHA JN (WR),11,12,19,16,16,12159,WR
SINDI (SNI),16,22,31,26,26,12159,SNI
NAGPUR (NGP),34,40,52,44,26,12159,NGP
PANDHURNA (PAR),69,67,78,71,48,12159,PAR
AMLA JN (AMLA),89,83,92,85,55,12159,AMLA
BETUL (BZU),100,93,103,94,61,12159,BZU
ITARSI JN (ET),21,16,24,19,18,12159,ET
SOHAGPUR (SGP),10,11,16,13,15,12159,SGP
PIPARIYA (PPI),8,9,13,11,14,12159,PPI
BANKHEDI (BKH),9,12,13,11,14,12159,BKH
GADARWARA (GAR),9,13,16,14,16,12159,GAR
KARELI (KY),5,9,10,8,12,12159,KY
NARSINGHPUR (NU),7,9,11,9,12,12159,NU
SHRIDHAM (SRID),10,8,12,11,14,12159,SRID
MADAN MAHAL (MML),10,6,38,23,18,12159,MML
JABALPUR (JBP),1,44,66,43,20,12159,JBP
JABALPUR (JBP),0,1,7,7,8,12160,JBP
MADAN MAHAL (MML),4,5,10,10,11,12160,MML
SHRIDHAM (SRID),14,15,22,21,21,12160,SRID
NARSINGHPUR (NU),13,12,20,20,21,12160,NU
KARELI (KY),17,15,21,22,21,12160,KY
GADARWARA (GAR),18,15,21,21,22,12160,GAR
BANKHEDI (BKH),19,16,22,22,22,12160,BKH
PIPARIYA (PPI),23,19,25,24,24,12160,PPI
SOHAGPUR (SGP),24,20,26,25,25,12160,SGP
ITARSI JN (ET),8,9,13,11,15,12160,ET
BETUL (BZU),35,27,29,28,29,12160,BZU
AMLA JN (AMLA),35,31,33,31,34,12160,AMLA
PANDHURNA (PAR),41,44,45,43,44,12160,PAR
NAGPUR (NGP),17,22,23,19,34,12160,NGP
SINDI (SNI),20,28,33,27,27,12160,SNI
WARDHA JN (WR),34,37,45,38,38,12160,WR
PULGAON JN (PLO),43,44,50,42,42,12160,PLO
DHAMANGAON (DMN),44,43,50,41,41,12160,DMN
AMRAVATI (AMI),11,32,55,37,37,12160,AMI
LOKMANYATILAK T (LTT),2,2,18,17,15,12161,LTT
THANE (TNA),2,5,21,20,18,12161,TNA
KALYAN JN (KYN),8,12,26,28,25,12161,KYN
NASIK ROAD (NK),14,24,40,43,42,12161,NK
MANMAD JN (MMR),17,31,49,52,51,12161,MMR
JALGAON JN (JL),112,60,66,66,61,12161,JL
BHUSAVAL JN (BSL),139,59,59,57,52,12161,BSL
BURHANPUR (BAU),134,61,57,59,53,12161,BAU
KHANDWA (KNW),112,49,39,41,36,12161,KNW
HARDA (HD),122,59,50,50,42,12161,HD
TIMARNI (TBN),133,58,51,51,44,12161,TBN
ITARSI JN (ET),135,66,57,55,51,12161,ET
RANI KAMLAPATI (RKMP),113,56,51,50,48,12161,RKMP
BINA JN (BINA),94,35,44,37,32,12161,BINA
VIRANGANA LAKSHMIBAI (VGLB),52,34,54,46,33,12161,VGLB
DABRA (DBA),62,62,80,76,59,12161,DBA
GWALIOR (GWL),73,75,97,92,72,12161,GWL
MORENA (MRA),80,82,109,103,84,12161,MRA
AGRA CANTT (AGC),5,2,30,23,22,12161,AGC
AGRA CANTT (AGC),0,3,1,2,3,12162,AGC
MORENA (MRA),8,10,19,19,18,12162,MRA
GWALIOR (GWL),27,31,41,38,33,12162,GWL
DABRA (DBA),30,35,45,43,37,12162,DBA
VIRANGANA LAKSHMIBAI (VGLB),30,41,53,49,40,12162,VGLB
BINA JN (BINA),83,80,95,89,70,12162,BINA
RANI KAMLAPATI (RKMP),84,97,117,123,96,12162,RKMP
ITARSI JN (ET),84,102,126,129,103,12162,ET
TIMARNI (TBN),114,121,138,137,112,12162,TBN
HARDA (HD),114,120,138,139,114,12162,HD
KHANDWA (KNW),103,109,154,154,128,12162,KNW
BURHANPUR (BAU),128,117,178,167,139,12162,BAU
BHUSAVAL JN (BSL),147,125,187,178,160,12162,BSL
JALGAON JN (JL),146,131,190,181,163,12162,JL
MANMAD JN (MMR),171,163,226,223,207,12162,MMR
NASIK ROAD (NK),163,157,226,228,210,12162,NK
KALYAN JN (KYN),162,148,222,221,205,12162,KYN
THANE (TNA),0,75,180,189,187,12162,TNA
LOKMANYATILAK T (LTT),0,0,226,217,193,12162,LTT
LOKMANYATILAK T (LTT),0,1,2,4,5,12165,LTT
THANE (TNA),3,4,5,7,7,12165,TNA
KALYAN JN (KYN),18,15,16,19,19,12165,KYN
NASIK ROAD (NK),22,27,24,20,19,12165,NK
MANMAD JN (MMR),64,56,44,33,30,12165,MMR
JALGAON JN (JL),73,75,68,63,59,12165,JL
BHUSAVAL JN (BSL),76,67,62,57,52,12165,BSL
ITARSI JN (ET),5,3,8,10,13,12165,ET
JABALPUR (JBP),5,7,12,13,23,12165,JBP
KATNI (KTE),3,5,11,11,23,12165,KTE
SATNA (STA),20,20,25,25,39,12165,STA
PRAYAGRAJ JN (PRYJ),26,19,29,29,29,12165,PRYJ
JANGHAI JN (JNH),40,26,35,34,28,12165,JNH
BHADOHI (BOY),40,27,37,34,29,12165,BOY
VARANASI JN (BSB),35,24,40,34,31,12165,BSB
MAU JN (MAU),117,80,68,57,47,12165,MAU
DEORIA SADAR (DEOS),146,112,100,87,68,12165,DEOS
GORAKHPUR JN (GKP),122,116,122,133,107,12165,GKP
GORAKHPUR JN (GKP),26,7,7,11,11,12166,GKP
DEORIA SADAR (DEOS),65,19,16,23,22,12166,DEOS
MAU JN (MAU),133,103,58,58,44,12166,MAU
VARANASI JN (BSB),190,123,71,62,44,12166,BSB
BHADOHI (BOY),192,130,82,67,49,12166,BOY
JANGHAI JN (JNH),188,130,82,67,51,12166,JNH
PRAYAGRAJ JN (PRYJ),236,150,121,102,82,12166,PRYJ
SATNA (STA),276,189,162,156,118,12166,STA
KATNI (KTE),299,210,181,177,137,12166,KTE
JABALPUR (JBP),312,215,189,186,145,12166,JBP
ITARSI JN (ET),278,183,162,161,121,12166,ET
BHUSAVAL JN (BSL),246,163,145,144,108,12166,BSL
JALGAON JN (JL),243,161,143,143,107,12166,JL
MANMAD JN (MMR),258,180,162,162,125,12166,MMR
NASIK ROAD (NK),264,181,164,165,127,12166,NK
KALYAN JN (KYN),263,195,168,172,136,12166,KYN
THANE (TNA),260,139,143,156,131,12166,TNA
LOKMANYATILAK T (LTT),251,162,142,155,129,12166,LTT
LOKMANYATILAK T (LTT),0,1,10,9,13,12167,LTT
KALYAN JN (KYN),8,12,22,22,24,12167,KYN
NASIK ROAD (NK),7,13,24,25,27,12167,NK
BHUSAVAL JN (BSL),27,30,35,33,29,12167,BSL
BURHANPUR (BAU),37,39,39,39,39,12167,BAU
KHANDWA (KNW),12,9,16,15,16,12167,KNW
ITARSI JN (ET),2,7,15,14,16,12167,ET
JABALPUR (JBP),19,14,26,24,22,12167,JBP
KATNI (KTE),36,30,37,34,34,12167,KTE
MAIHAR (MYR),52,48,48,48,48,12167,MYR
SATNA (STA),26,23,27,26,23,12167,STA
MANIKPUR JN (MKP),16,14,21,23,20,12167,MKP
PRAYAGRAJ CHHEOKI (PCOI),28,37,45,44,39,12167,PCOI
VARANASI JN (BSB),43,37,44,35,36,12167,BSB
BANARAS (BSBS),42,34,39,30,32,12167,BSBS
BANARAS (BSBS),0,0,3,5,5,12168,BSBS
VARANASI JN (BSB),2,1,4,5,6,12168,BSB
PRAYAGRAJ CHHEOKI (PCOI),61,45,53,48,43,12168,PCOI
MANIKPUR JN (MKP),67,30,39,37,27,12168,MKP
SATNA (STA),89,43,55,57,48,12168,STA
MAIHAR (MYR),103,57,57,57,57,12168,MYR
KATNI (KTE),109,58,69,73,63,12168,KTE
JABALPUR (JBP),114,64,70,75,67,12168,JBP
ITARSI JN (ET),71,34,38,38,30,12168,ET
KHANDWA (KNW),49,25,28,26,18,12168,KNW
BURHANPUR (BAU),65,28,28,28,28,12168,BAU
BHUSAVAL JN (BSL),76,37,37,34,30,12168,BSL
NASIK ROAD (NK),64,40,48,47,44,12168,NK
KALYAN JN (KYN),70,48,55,52,48,12168,KYN
LOKMANYATILAK T (LTT),28,27,34,46,35,12168,LTT
PUNE JN (PUNE),0,1,2,5,6,12169,PUNE
DAUND JN (DD),15,13,13,14,15,12169,DD
JEUR (JEUR),23,21,21,22,23,12169,JEUR
KURDUVADI (KWV),20,17,18,20,21,12169,KWV
SOLAPUR JN (SUR),4,1,3,3,5,12169,SUR
SOLAPUR JN (SUR),0,1,7,8,9,12170,SUR
KURDUVADI (KWV),20,20,29,28,28,12170,KWV
JEUR (JEUR),18,18,29,29,29,12170,JEUR
DAUND JN (DD),9,9,17,16,17,12170,DD
PUNE JN (PUNE),11,6,12,11,14,12170,PUNE
LOKMANYATILAK T (LTT),2,1,1,1,2,12171,LTT
KALYAN JN (KYN),9,9,8,10,11,12171,KYN
NASIK ROAD (NK),4,17,13,10,13,12171,NK
BHUSAVAL JN (BSL),1,23,20,18,20,12171,BSL
BHOPAL JN (BPL),13,22,16,15,19,12171,BPL
V LAKSHMIBAI JHANSI (VGLJ),0,0,0,0,0,12171,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),20,51,34,28,23,12171,VGLB
AGRA CANTT (AGC),19,45,33,31,25,12171,AGC
H NIZAMUDDIN (NZM),9,47,35,27,21,12171,NZM
MEERUT CITY (MTC),22,64,49,43,36,12171,MTC
TAPRI (TPZ),1,32,22,12,9,12171,TPZ
ROORKEE (RK),4,34,25,17,15,12171,RK
HARIDWAR JN (HW),10,25,17,7,17,12171,HW
HARIDWAR JN (HW),2,25,17,9,6,12172,HW
ROORKEE (RK),7,30,23,15,15,12172,RK
TAPRI (TPZ),3,24,17,9,9,12172,TPZ
MEERUT CITY (MTC),5,27,22,11,10,12172,MTC
H NIZAMUDDIN (NZM),0,17,12,6,6,12172,NZM
AGRA CANTT (AGC),43,49,46,32,28,12172,AGC
VIRANGANA LAKSHMIBAI (VGLB),23,44,41,39,28,12172,VGLB
BHOPAL JN (BPL),11,54,53,63,38,12172,BPL
BHUSAVAL JN (BSL),1,33,32,35,23,12172,BSL
NASIK ROAD (NK),16,45,48,56,44,12172,NK
KALYAN JN (KYN),18,49,56,64,52,12172,KYN
LOKMANYATILAK T (LTT),5,30,38,42,32,12172,LTT
LOKMANYATILAK T (LTT),1,1,1,2,2,12173,LTT
THANE (TNA),3,3,3,4,5,12173,TNA
KALYAN JN (KYN),11,11,10,11,10,12173,KYN
NASIK ROAD (NK),28,20,28,27,26,12173,NK
BHUSAVAL JN (BSL),20,19,24,20,20,12173,BSL
BHOPAL JN (BPL),10,16,22,25,27,12173,BPL
V LAKSHMIBAI JHANSI (VGLJ),27,27,27,27,27,12173,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),7,26,39,40,34,12173,VGLB
ORAI (ORAI),30,37,52,53,40,12173,ORAI
KANPUR CENTRAL (CNB),25,18,38,47,49,12173,CNB
LUCKNOW NR (LKO),47,43,58,62,72,12173,LKO
RAE BARELI JN (RBL),65,62,73,74,85,12173,RBL
AMETHI (AME),66,69,81,80,84,12173,AME
PARTAPGARH JN (PBH),38,39,76,68,66,12173,PBH
PARTAPGARH JN (PBH),0,1,5,9,14,12174,PBH
AMETHI (AME),4,5,12,15,23,12174,AME
RAE BARELI JN (RBL),4,8,19,19,25,12174,RBL
LUCKNOW NR (LKO),1,2,14,15,19,12174,LKO
KANPUR CENTRAL (CNB),4,7,17,22,25,12174,CNB
ORAI (ORAI),7,15,50,56,53,12174,ORAI
VIRANGANA LAKSHMIBAI (VGLB),19,14,32,36,38,12174,VGLB
BHOPAL JN (BPL),18,15,51,50,53,12174,BPL
BHUSAVAL JN (BSL),27,10,41,35,43,12174,BSL
NASIK ROAD (NK),17,20,50,45,58,12174,NK
KALYAN JN (KYN),16,42,77,72,79,12174,KYN
THANE (TNA),15,43,42,37,49,12174,TNA
LOKMANYATILAK T (LTT),13,22,26,26,41,12174,LTT
HOWRAH JN (HWH),1,0,1,1,2,12175,HWH
BARDDHAMAN JN (BWN),0,3,3,5,5,12175,BWN
DURGAPUR (DGR),4,11,8,9,9,12175,DGR
ASANSOL JN (ASN),3,9,8,10,10,12175,ASN
DHANBAD JN (DHN),0,0,2,4,4,12175,DHN
NSC BOSE J GOMO (GMO),0,0,2,4,5,12175,GMO
PARASNATH (PNME),2,1,3,5,6,12175,PNME
KODERMA (KQR),8,8,13,14,15,12175,KQR
GAYA JN (GAYA),0,0,1,2,4,12175,GAYA
DEHRI ON SONE (DOS),9,6,16,13,12,12175,DOS
SASARAM (SSM),10,7,19,16,17,12175,SSM
BHABUA ROAD (BBU),11,9,22,22,24,12175,BBU
PT DEEN DAYAL UPADHYAY JN (DDU),8,4,17,14,12,12175,DDU
CHUNAR (CAR),10,19,36,28,21,12175,CAR
MIRZAPUR (MZP),20,27,45,34,25,12175,MZP
VINDHYACHAL (BDL),21,29,48,36,27,12175,BDL
PRAYAGRAJ CHHEOKI (PCOI),70,57,81,71,57,12175,PCOI
MANIKPUR JN (MKP),55,33,60,53,40,12175,MKP
CHITRAKOOTDHAM (CKTD),67,43,78,71,56,12175,CKTD
ATARRA (ATE),77,57,100,86,67,12175,ATE
BANDA JN (BNDA),74,52,101,87,67,12175,BNDA
MAHOBA (MBA),73,56,103,92,74,12175,MBA
KULPAHAR (KLAR),73,57,104,92,76,12175,KLAR
HARPALPUR (HPP),73,56,105,95,77,12175,HPP
MAU RANIPUR (MRPR),74,55,105,97,77,12175,MRPR
NIVARI (NEW),76,58,105,96,77,12175,NEW
V LAKSHMIBAI JHANSI (VGLJ),0,0,0,0,0,12175,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),69,30,72,63,44,12175,VGLB
DATIA (DAA),46,37,80,74,55,12175,DAA
DABRA (DBA),52,40,82,76,56,12175,DBA
GWALIOR (GWL),42,27,69,63,43,12175,GWL
GWALIOR (GWL),1,1,2,4,4,12176,GWL
DABRA (DBA),9,9,10,14,12,12176,DBA
DATIA (DAA),12,11,17,20,17,12176,DAA
VIRANGANA LAKSHMIBAI (VGLB),7,8,22,27,22,12176,VGLB
NIVARI (NEW),8,9,21,27,23,12176,NEW
MAU RANIPUR (MRPR),6,6,18,24,21,12176,MRPR
HARPALPUR (HPP),3,4,16,22,20,12176,HPP
KULPAHAR (KLAR),22,26,28,31,28,12176,KLAR
MAHOBA (MBA),20,30,30,34,31,12176,MBA
BANDA JN (BNDA),28,24,23,26,24,12176,BNDA
ATARRA (ATE),29,31,30,33,30,12176,ATE
CHITRAKOOTDHAM (CKTD),41,43,48,47,40,12176,CKTD
MANIKPUR JN (MKP),2,5,14,13,10,12176,MKP
PRAYAGRAJ CHHEOKI (PCOI),55,43,45,43,36,12176,PCOI
VINDHYACHAL (BDL),75,57,53,57,51,12176,BDL
MIRZAPUR (MZP),75,57,53,59,50,12176,MZP
CHUNAR (CAR),67,42,46,52,43,12176,CAR
PT DEEN DAYAL UPADHYAY JN (DDU),61,39,35,35,23,12176,DDU
BHABUA ROAD (BBU),65,46,46,44,35,12176,BBU
SASARAM (SSM),70,51,50,49,42,12176,SSM
DEHRI ON SONE (DOS),69,51,51,51,44,12176,DOS
GAYA JN (GAYA),56,39,46,43,33,12176,GAYA
KODERMA (KQR),66,45,45,42,33,12176,KQR
PARASNATH (PNME),79,56,56,52,43,12176,PNME
NSC BOSE J GOMO (GMO),82,52,51,47,37,12176,GMO
DHANBAD JN (DHN),65,38,41,37,30,12176,DHN
ASANSOL JN (ASN),53,27,33,31,24,12176,ASN
DURGAPUR (DGR),58,43,42,41,31,12176,DGR
BARDDHAMAN JN (BWN),43,31,37,33,26,12176,BWN
HOWRAH JN (HWH),45,26,41,37,27,12176,HWH
HOWRAH JN (HWH),0,0,0,1,1,12177,HWH
BARDDHAMAN JN (BWN),0,5,43,25,15,12177,BWN
DURGAPUR (DGR),10,10,45,29,20,12177,DGR
ASANSOL JN (ASN),13,9,43,32,22,12177,ASN
DHANBAD JN (DHN),13,10,41,28,15,12177,DHN
NSC BOSE J GOMO (GMO),12,8,42,28,16,12177,GMO
PARASNATH (PNME),23,11,44,30,17,12177,PNME
KODERMA (KQR),26,20,55,41,27,12177,KQR
GAYA JN (GAYA),1,0,38,23,13,12177,GAYA
DEHRI ON SONE (DOS),20,11,47,30,19,12177,DOS
SASARAM (SSM),21,13,50,34,24,12177,SSM
BHABUA ROAD (BBU),19,14,56,42,32,12177,BBU
PT DEEN DAYAL UPADHYAY JN (DDU),7,5,45,31,18,12177,DDU
CHUNAR (CAR),6,23,62,44,30,12177,CAR
MIRZAPUR (MZP),17,27,66,52,36,12177,MZP
VINDHYACHAL (BDL),20,29,69,53,37,12177,BDL
PRAYAGRAJ CHHEOKI (PCOI),52,46,92,82,62,12177,PCOI
MANIKPUR JN (MKP),52,31,78,75,47,12177,MKP
CHITRAKOOTDHAM (CKTD),52,36,89,90,60,12177,CKTD
ATARRA (ATE),52,42,104,100,69,12177,ATE
BANDA JN (BNDA),52,43,105,101,70,12177,BNDA
MAHOBA (MBA),52,39,107,105,76,12177,MBA
KULPAHAR (KLAR),52,40,108,106,78,12177,KLAR
HARPALPUR (HPP),52,42,116,110,79,12177,HPP
MAU RANIPUR (MRPR),52,40,115,110,79,12177,MRPR
NIVARI (NEW),52,38,114,109,79,12177,NEW
VIRANGANA LAKSHMIBAI (VGLB),52,31,89,78,47,12177,VGLB
DATIA (DAA),52,37,98,87,57,12177,DAA
DABRA (DBA),52,36,101,92,60,12177,DBA
GWALIOR (GWL),52,37,108,98,62,12177,GWL
MORENA (MRA),0,11,110,103,69,12177,MRA
DHAULPUR (DHO),16,25,105,96,58,12177,DHO
AGRA CANTT (AGC),19,41,22,42,36,12177,AGC
MATHURA JN (MTJ),9,54,38,108,60,12177,MTJ
YESVANTPUR JN (YPR),0,3,5,4,9,12213,YPR
GUNTAKAL JN (GTL),110,38,31,30,37,12213,GTL
SECUNDERABAD JN (SC),184,66,60,41,47,12213,SC
BALHARSHAH (BPQ),184,81,87,54,59,12213,BPQ
RANI KAMLAPATI (RKMP),184,77,114,69,77,12213,RKMP
VIRANGANA LAKSHMIBAI (VGLB),184,86,134,100,110,12213,VGLB
DELHI S ROHILLA (DEE),207,97,175,142,201,12213,DEE
DELHI S ROHILLA (DEE),1,1,0,0,0,12215,DEE
DELHI CANTT (DEC),6,3,3,4,3,12215,DEC
GURGAON (GGN),7,11,9,11,9,12215,GGN
REWARI (RE),6,10,11,10,8,12215,RE
ALWAR (AWR),5,8,12,11,10,12215,AWR
JAIPUR (JP),11,11,13,12,11,12215,JP
AJMER JN (AII),3,8,12,9,9,12215,AII
FALNA (FA),4,4,6,5,5,12215,FA
ABU ROAD (ABR),6,3,5,5,3,12215,ABR
PALANPUR JN (PNU),10,11,9,9,8,12215,PNU
GANDHINAGAR CAP (GNC),23,34,49,42,41,12215,GNC
AHMEDABAD JN (ADI),4,18,28,21,22,12215,ADI
VADODARA JN (BRC),6,12,21,17,19,12215,BRC
BHARUCH JN (BH),16,21,28,23,22,12215,BH
SURAT (ST),6,12,22,18,18,12215,ST
BORIVALI (BVI),11,18,27,34,27,12215,BVI
BANDRA TERMINUS (BDTS),1,4,16,24,17,12215,BDTS
BANDRA TERMINUS (BDTS),1,1,1,6,6,12216,BDTS
BORIVALI (BVI),12,9,12,17,14,12216,BVI
SURAT (ST),12,7,15,20,15,12216,ST
BHARUCH JN (BH),8,6,16,21,19,12216,BH
VADODARA JN (BRC),12,10,20,24,21,12216,BRC
NADIAD JN (ND),12,10,20,24,19,12216,ND
AHMEDABAD JN (ADI),16,17,27,35,27,12216,ADI
GANDHINAGAR CAP (GNC),22,28,37,43,36,12216,GNC
PALANPUR JN (PNU),2,5,8,14,12,12216,PNU
ABU ROAD (ABR),1,1,4,12,10,12216,ABR
FALNA (FA),0,0,3,11,9,12216,FA
AJMER JN (AII),2,2,2,9,9,12216,AII
JAIPUR (JP),28,22,24,30,21,12216,JP
ALWAR (AWR),20,15,20,24,17,12216,AWR
REWARI (RE),14,5,9,18,11,12216,RE
GURGAON (GGN),20,12,14,22,15,12216,GGN
DELHI CANTT (DEC),19,15,16,26,19,12216,DEC
DELHI S ROHILLA (DEE),5,118,47,40,20,12216,DEE
CHANDIGARH (CDG),1,0,1,1,2,12218,CDG
AMBALA CANT JN (UMB),1,0,0,1,1,12218,UMB
BHODWAL MAJRI (BDMJ),1,5,5,9,9,12218,BDMJ
NEW DELHI (NDLS),1,10,14,17,15,12218,NDLS
H NIZAMUDDIN (NZM),8,17,21,25,22,12218,NZM
KOTA JN (KOTA),20,32,41,44,40,12218,KOTA
VADODARA JN (BRC),10,12,18,20,25,12218,BRC
SURAT (ST),10,10,14,19,25,12218,ST
VASAI ROAD (BSR),3,23,18,21,24,12218,BSR
PANVEL (PNVL),15,33,26,28,29,12218,PNVL
RATNAGIRI (RN),56,66,52,56,61,12218,RN
MADGAON (MAO),37,55,57,62,78,12218,MAO
UDUPI (UD),26,70,61,56,59,12218,UD
MANGALORE JN (MAJN),2,23,18,23,36,12218,MAJN
KASARAGOD (KGQ),13,34,25,29,39,12218,KGQ
KANNUR (CAN),10,29,22,31,40,12218,CAN
KOZHIKODE (CLT),19,35,33,41,43,12218,CLT
SHORANUR JN (SRR),24,32,35,41,38,12218,SRR
THRISUR (TCR),5,13,24,25,26,12218,TCR
ERNAKULAM JN (ERS),31,38,48,49,41,12218,ERS
ALLEPPEY (ALLP),37,42,47,44,38,12218,ALLP
KAYANKULAM JN (KYJ),40,47,49,45,34,12218,KYJ
KOLLAM JN (QLN),39,39,43,41,34,12218,QLN
KOCHUVELI (KCVL),3,2,6,5,3,12218,KCVL
LOKMANYATILAK T (LTT),2,2,2,3,5,12219,LTT
PUNE JN (PUNE),17,23,29,38,40,12219,PUNE
SOLAPUR JN (SUR),6,16,28,34,44,12219,SUR
WADI (WADI),0,4,4,4,4,12219,WADI
SECUNDERABAD JN (SC),1,62,37,20,27,12219,SC
SECUNDERABAD JN (SC),4,21,14,7,6,12220,SC
WADI (WADI),49,49,49,49,49,12220,WADI
SOLAPUR JN (SUR),44,44,53,36,28,12220,SUR
PUNE JN (PUNE),35,36,45,30,25,12220,PUNE
LOKMANYATILAK T (LTT),28,34,44,29,39,12220,LTT
PUNE JN (PUNE),0,4,4,5,5,12221,PUNE
DAUND CHORD LINE (DDCC),24,18,17,18,17,12221,DDCC
MANMAD JN (MMR),8,11,9,13,13,12221,MMR
